[INGEST]    Connecting to Wikipedia SSE stream...
[BOT  ]    zh.wikipedia.org | drift=3477.50ms | exec=0.09ms | total=3477.59ms | DEADLINE MISS
[BOT  ]    commons.wikimedia.org | drift=2822.08ms | exec=0.09ms | total=2822.17ms | DEADLINE MISS
[BOT  ]    en.wiktionary.org | drift=2821.98ms | exec=0.05ms | total=2822.03ms | DEADLINE MISS
[BOT  ]    www.wikidata.org | drift=2821.75ms | exec=0.16ms | total=2821.91ms | DEADLINE MISS
[BOT  ]    commons.wikimedia.org | drift=2298.21ms | exec=0.07ms | total=2298.28ms | DEADLINE MISS
[BOT  ]    commons.wikimedia.org | drift=2291.38ms | exec=0.06ms | total=2291.43ms | DEADLINE MISS
[BOT  ]    en.wikipedia.org | drift=1711.79ms | exec=0.05ms | total=1711.84ms | DEADLINE MISS
[BOT  ]    ur.wikipedia.org | drift=1711.50ms | exec=0.21ms | total=1711.70ms | DEADLINE MISS
[HUMAN]    www.wikidata.org | drift=0.16ms | exec=0.14ms | total=0.30ms | DEADLINE MET 
[BOT  ]    commons.wikimedia.org | drift=1711.34ms | exec=0.09ms | total=1711.44ms | DEADLINE MISS
[BOT  ]    commons.wikimedia.org | drift=1295.51ms | exec=0.11ms | total=1295.62ms | DEADLINE MISS
[BOT  ]    commons.wikimedia.org | drift=1285.26ms | exec=0.10ms | total=1285.36ms | DEADLINE MISS
[DEGRADED]  miss_rate=55% > 50% | Mode: DEGRADED (bot edits skipped)
[HUMAN]    en.wikipedia.org | drift=0.62ms | exec=0.15ms | total=0.77ms | DEADLINE MET 
[HUMAN]    en.wikipedia.org | drift=1.08ms | exec=0.07ms | total=1.15ms | DEADLINE MET 
[HUMAN]    en.wikiquote.org | drift=0.73ms | exec=0.05ms | total=0.78ms | DEADLINE MET 
[HUMAN]    commons.wikimedia.org | drift=1.71ms | exec=0.07ms | total=1.78ms | DEADLINE MET 
[HUMAN]    www.wikidata.org | drift=0.09ms | exec=0.07ms | total=0.15ms | DEADLINE MET 
[HUMAN]    commons.wikimedia.org | drift=0.56ms | exec=0.08ms | total=0.64ms | DEADLINE MET 
[HUMAN]    commons.wikimedia.org | drift=1.80ms | exec=0.12ms | total=1.92ms | DEADLINE MET 
[HUMAN]    www.wikidata.org | drift=0.87ms | exec=0.13ms | total=1.00ms | DEADLINE MET 
[HUMAN]    en.wikipedia.org | drift=2.92ms | exec=0.09ms | total=3.01ms | DEADLINE MISS
[HUMAN]    www.wikidata.org | drift=2.46ms | exec=0.08ms | total=2.54ms | DEADLINE MISS
[HUMAN]    en.wikipedia.org | drift=0.55ms | exec=0.06ms | total=0.60ms | DEADLINE MET 
[HUMAN]    ja.wikipedia.org | drift=1.47ms | exec=0.14ms | total=1.60ms | DEADLINE MET 
[HUMAN]    en.wikipedia.org | drift=0.69ms | exec=0.09ms | total=0.79ms | DEADLINE MET 
[HUMAN]    commons.wikimedia.org | drift=4.62ms | exec=0.16ms | total=4.78ms | DEADLINE MISS
[HUMAN]    commons.wikimedia.org | drift=2.63ms | exec=0.18ms | total=2.82ms | DEADLINE MISS
[HUMAN]    www.wikidata.org | drift=3.20ms | exec=0.18ms | total=3.38ms | DEADLINE MISS
[HUMAN]    en.wikipedia.org | drift=2.07ms | exec=0.11ms | total=2.18ms | DEADLINE MISS
[HUMAN]    www.wikidata.org | drift=1.11ms | exec=0.19ms | total=1.29ms | DEADLINE MET 
[HUMAN]    ja.wikipedia.org | drift=1.75ms | exec=0.07ms | total=1.82ms | DEADLINE MET 
[HUMAN]    www.wikidata.org | drift=1.56ms | exec=0.04ms | total=1.59ms | DEADLINE MET 
[HUMAN]    commons.wikimedia.org | drift=1.39ms | exec=0.02ms | total=1.42ms | DEADLINE MET 
[HUMAN]    www.wikidata.org | drift=0.95ms | exec=0.05ms | total=1.00ms | DEADLINE MET 
[HUMAN]    commons.wikimedia.org | drift=0.84ms | exec=0.06ms | total=0.90ms | DEADLINE MET 
[HUMAN]    www.wikidata.org | drift=3.86ms | exec=0.09ms | total=3.96ms | DEADLINE MISS
[HUMAN]    commons.wikimedia.org | drift=1.25ms | exec=0.08ms | total=1.33ms | DEADLINE MET 
[HUMAN]    www.wikidata.org | drift=4.59ms | exec=0.09ms | total=4.68ms | DEADLINE MISS
[HUMAN]    ur.wikipedia.org | drift=4.55ms | exec=0.03ms | total=4.58ms | DEADLINE MISS
[HUMAN]    www.wikidata.org | drift=9.82ms | exec=0.12ms | total=9.94ms | DEADLINE MISS
[HUMAN]    simple.wikipedia.org | drift=3.15ms | exec=0.05ms | total=3.19ms | DEADLINE MISS
[HUMAN]    www.wikidata.org | drift=4.61ms | exec=0.08ms | total=4.69ms | DEADLINE MISS
[HUMAN]    el.wikipedia.org | drift=1.54ms | exec=0.11ms | total=1.65ms | DEADLINE MET 
[HUMAN]    commons.wikimedia.org | drift=4.90ms | exec=0.07ms | total=4.97ms | DEADLINE MISS
[HUMAN]    commons.wikimedia.org | drift=12.28ms | exec=0.23ms | total=12.51ms | DEADLINE MISS
[HUMAN]    www.wikidata.org | drift=1.22ms | exec=0.10ms | total=1.33ms | DEADLINE MET 
[HUMAN]    en.wikipedia.org | drift=4.57ms | exec=0.12ms | total=4.69ms | DEADLINE MISS
[HUMAN]    commons.wikimedia.org | drift=0.20ms | exec=0.10ms | total=0.30ms | DEADLINE MET 
[HUMAN]    commons.wikimedia.org | drift=1.34ms | exec=0.09ms | total=1.43ms | DEADLINE MET 
[HUMAN]    es.wikipedia.org | drift=0.23ms | exec=0.10ms | total=0.33ms | DEADLINE MET 
[HUMAN]    commons.wikimedia.org | drift=1.15ms | exec=0.11ms | total=1.26ms | DEADLINE MET 
[HUMAN]    www.wikidata.org | drift=1.76ms | exec=0.09ms | total=1.85ms | DEADLINE MET 
[HUMAN]    zh.wikipedia.org | drift=5.38ms | exec=0.08ms | total=5.46ms | DEADLINE MISS
[HUMAN]    en.wikipedia.org | drift=1.85ms | exec=0.10ms | total=1.95ms | DEADLINE MET 
[HUMAN]    fo.wikipedia.org | drift=6.92ms | exec=0.07ms | total=6.99ms | DEADLINE MISS
[HUMAN]    www.wikidata.org | drift=2.32ms | exec=0.09ms | total=2.41ms | DEADLINE MISS
[HUMAN]    www.wikidata.org | drift=2.08ms | exec=0.10ms | total=2.18ms | DEADLINE MISS
[HUMAN]    en.wikipedia.org | drift=1.85ms | exec=0.04ms | total=1.89ms | DEADLINE MET 
[HUMAN]    commons.wikimedia.org | drift=0.17ms | exec=0.09ms | total=0.26ms | DEADLINE MET 
[HUMAN]    www.wikidata.org | drift=0.80ms | exec=0.06ms | total=0.86ms | DEADLINE MET 
