[INGEST]    Connecting to Wikipedia SSE stream (threaded)...
[HUMAN]    en.wikipedia.org | drift=0.81ms | exec=0.14ms | total=0.95ms | DEADLINE MET 
[HUMAN]    en.wikipedia.org | drift=0.05ms | exec=0.10ms | total=0.15ms | DEADLINE MET 
[BOT  ]    en.wiktionary.org | drift=0.33ms | exec=0.12ms | total=0.44ms | DEADLINE MET 
[BOT  ]    ca.wikipedia.org | drift=0.96ms | exec=0.10ms | total=1.05ms | DEADLINE MET 
[HUMAN]    commons.wikimedia.org | drift=0.89ms | exec=0.11ms | total=0.99ms | DEADLINE MET 
[BOT  ]    www.wikidata.org | drift=0.67ms | exec=0.08ms | total=0.76ms | DEADLINE MET 
[BOT  ]    commons.wikimedia.org | drift=0.57ms | exec=0.22ms | total=0.79ms | DEADLINE MET 
[BOT  ]    www.wikidata.org | drift=0.51ms | exec=0.18ms | total=0.69ms | DEADLINE MET 
[HUMAN]    ja.wikipedia.org | drift=1.85ms | exec=0.20ms | total=2.04ms | DEADLINE MISS
[HUMAN]    www.wikidata.org | drift=1.09ms | exec=0.23ms | total=1.32ms | DEADLINE MET 
[HUMAN]    en.wikipedia.org | drift=1.34ms | exec=0.13ms | total=1.47ms | DEADLINE MET 
[BOT  ]    commons.wikimedia.org | drift=1.17ms | exec=0.11ms | total=1.28ms | DEADLINE MET 
[BOT  ]    commons.wikimedia.org | drift=0.61ms | exec=0.08ms | total=0.70ms | DEADLINE MET 
[HUMAN]    commons.wikimedia.org | drift=0.99ms | exec=0.11ms | total=1.10ms | DEADLINE MET 
[HUMAN]    zh.wikipedia.org | drift=0.90ms | exec=0.09ms | total=0.98ms | DEADLINE MET 
[BOT  ]    fa.wikipedia.org | drift=1.64ms | exec=0.07ms | total=1.71ms | DEADLINE MET 
[BOT  ]    commons.wikimedia.org | drift=0.10ms | exec=0.08ms | total=0.18ms | DEADLINE MET 
[HUMAN]    en.wikipedia.org | drift=1.54ms | exec=0.06ms | total=1.60ms | DEADLINE MET 
[BOT  ]    commons.wikimedia.org | drift=0.13ms | exec=0.22ms | total=0.36ms | DEADLINE MET 
[HUMAN]    commons.wikimedia.org | drift=0.53ms | exec=0.12ms | total=0.65ms | DEADLINE MET 
[HUMAN]    commons.wikimedia.org | drift=0.78ms | exec=0.07ms | total=0.85ms | DEADLINE MET 
[HUMAN]    en.wikipedia.org | drift=0.63ms | exec=0.04ms | total=0.66ms | DEADLINE MET 
[HUMAN]    en.wikipedia.org | drift=1.49ms | exec=0.09ms | total=1.58ms | DEADLINE MET 
[BOT  ]    ur.wikipedia.org | drift=1.36ms | exec=0.07ms | total=1.43ms | DEADLINE MET 
[BOT  ]    commons.wikimedia.org | drift=0.65ms | exec=0.04ms | total=0.69ms | DEADLINE MET 
[HUMAN]    commons.wikimedia.org | drift=0.44ms | exec=0.04ms | total=0.48ms | DEADLINE MET 
[BOT  ]    www.wikidata.org | drift=1.48ms | exec=0.04ms | total=1.52ms | DEADLINE MET 
[HUMAN]    commons.wikimedia.org | drift=0.02ms | exec=0.04ms | total=0.05ms | DEADLINE MET 
[BOT  ]    en.wiktionary.org | drift=1.14ms | exec=0.03ms | total=1.17ms | DEADLINE MET 
[BOT  ]    ko.wikipedia.org | drift=0.93ms | exec=0.11ms | total=1.04ms | DEADLINE MET 
[HUMAN]    www.wikidata.org | drift=0.73ms | exec=0.12ms | total=0.85ms | DEADLINE MET 
[BOT  ]    pl.wikipedia.org | drift=1.62ms | exec=0.08ms | total=1.70ms | DEADLINE MET 
[HUMAN]    en.wikipedia.org | drift=0.29ms | exec=0.05ms | total=0.34ms | DEADLINE MET 
[HUMAN]    commons.wikimedia.org | drift=0.12ms | exec=0.13ms | total=0.25ms | DEADLINE MET 
[BOT  ]    www.wikidata.org | drift=1.82ms | exec=0.11ms | total=1.93ms | DEADLINE MET 
[BOT  ]    commons.wikimedia.org | drift=0.37ms | exec=0.13ms | total=0.50ms | DEADLINE MET 
[HUMAN]    commons.wikimedia.org | drift=1.69ms | exec=0.10ms | total=1.79ms | DEADLINE MET 
[BOT  ]    en.wiktionary.org | drift=1.02ms | exec=0.08ms | total=1.10ms | DEADLINE MET 
[BOT  ]    www.wikidata.org | drift=1.40ms | exec=0.08ms | total=1.48ms | DEADLINE MET 
[BOT  ]    commons.wikimedia.org | drift=0.64ms | exec=0.06ms | total=0.70ms | DEADLINE MET 
[HUMAN]    commons.wikimedia.org | drift=1.50ms | exec=0.07ms | total=1.58ms | DEADLINE MET 
[BOT  ]    www.wikidata.org | drift=1.12ms | exec=0.04ms | total=1.16ms | DEADLINE MET 
[HUMAN]    en.wikipedia.org | drift=0.47ms | exec=0.12ms | total=0.58ms | DEADLINE MET 
[HUMAN]    pt.wikipedia.org | drift=0.05ms | exec=0.10ms | total=0.16ms | DEADLINE MET 
[BOT  ]    ar.wikipedia.org | drift=0.09ms | exec=0.12ms | total=0.21ms | DEADLINE MET 
[BOT  ]    nl.wikipedia.org | drift=0.46ms | exec=0.11ms | total=0.57ms | DEADLINE MET 
[HUMAN]    en.wikipedia.org | drift=1.35ms | exec=0.08ms | total=1.43ms | DEADLINE MET 
[BOT  ]    en.wiktionary.org | drift=0.31ms | exec=0.06ms | total=0.38ms | DEADLINE MET 
[HUMAN]    commons.wikimedia.org | drift=0.88ms | exec=0.09ms | total=0.97ms | DEADLINE MET 
[BOT  ]    www.wikidata.org | drift=0.33ms | exec=0.08ms | total=0.42ms | DEADLINE MET 
[HUMAN]    en.wikipedia.org | drift=0.20ms | exec=0.07ms | total=0.27ms | DEADLINE MET 
[BOT  ]    pl.wikipedia.org | drift=0.05ms | exec=0.05ms | total=0.10ms | DEADLINE MET 
[BOT  ]    commons.wikimedia.org | drift=1.33ms | exec=0.13ms | total=1.46ms | DEADLINE MET 
[HUMAN]    commons.wikimedia.org | drift=1.44ms | exec=0.07ms | total=1.52ms | DEADLINE MET 
[HUMAN]    commons.wikimedia.org | drift=1.03ms | exec=0.09ms | total=1.12ms | DEADLINE MET 
[BOT  ]    commons.wikimedia.org | drift=0.63ms | exec=0.07ms | total=0.71ms | DEADLINE MET 
[HUMAN]    commons.wikimedia.org | drift=0.15ms | exec=0.12ms | total=0.27ms | DEADLINE MET 
[BOT  ]    commons.wikimedia.org | drift=1.35ms | exec=0.21ms | total=1.55ms | DEADLINE MET 
[HUMAN]    commons.wikimedia.org | drift=0.27ms | exec=0.10ms | total=0.37ms | DEADLINE MET 
[BOT  ]    en.wikipedia.org | drift=0.40ms | exec=0.07ms | total=0.47ms | DEADLINE MET 
[HUMAN]    commons.wikimedia.org | drift=0.80ms | exec=0.07ms | total=0.87ms | DEADLINE MET 
[HUMAN]    commons.wikimedia.org | drift=0.34ms | exec=0.05ms | total=0.39ms | DEADLINE MET 
[BOT  ]    commons.wikimedia.org | drift=1.53ms | exec=0.16ms | total=1.70ms | DEADLINE MET 
[HUMAN]    commons.wikimedia.org | drift=1.53ms | exec=0.06ms | total=1.59ms | DEADLINE MET 
[BOT  ]    www.wikidata.org | drift=1.42ms | exec=0.10ms | total=1.51ms | DEADLINE MET 
[BOT  ]    www.wikidata.org | drift=1.55ms | exec=0.08ms | total=1.63ms | DEADLINE MET 
[BOT  ]    pl.wikipedia.org | drift=1.35ms | exec=0.07ms | total=1.42ms | DEADLINE MET 
[HUMAN]    en.wikipedia.org | drift=0.68ms | exec=0.05ms | total=0.73ms | DEADLINE MET 
[HUMAN]    commons.wikimedia.org | drift=0.41ms | exec=0.06ms | total=0.47ms | DEADLINE MET 
[BOT  ]    commons.wikimedia.org | drift=1.26ms | exec=0.06ms | total=1.32ms | DEADLINE MET 
[BOT  ]    en.wiktionary.org | drift=1.20ms | exec=0.07ms | total=1.27ms | DEADLINE MET 
[HUMAN]    commons.wikimedia.org | drift=0.32ms | exec=0.08ms | total=0.39ms | DEADLINE MET 
[HUMAN]    en.wikipedia.org | drift=1.61ms | exec=0.10ms | total=1.71ms | DEADLINE MET 
